"X.median_R_mean.lag_we","X.median_R_mean.lag1_we","X.percentage_age_we","X.Density_we","X.population_we","X.schoolClosing_we","X.restGatherings_we","X.cancEvents_we","X.testingPolicy_we","X.workClosing2a_we","X.grocery_and_pharmacy_we","X.transit_stations_we","X.transactiongrowth_we","X.workplaces_we","X.sre000d0_we","X.tre200d0_we","X.ure200d0_we","X.ferien_we","X.Canton_3","X.oneweek","Y","W"
1.60285714285714,1.23857142857143,4.76451314001525,2669.154977,793100,1,3,2,2,1.57142857142857,-2.34714285714286,-24.0407142857143,0.0702401548357123,-17.5714285714286,177.828571428571,8.92285714285714,85.7214285714286,0,4,36,1.08571428571429,1
1.53857142857143,1.08571428571429,4.76451314001525,2669.154977,793100,2,3.71428571428571,2,2,2.71428571428571,-3.93885714285714,-28.1837142857143,-0.0458401938921309,-19.1428571428571,118.985714285714,9.21349206349206,83.8671428571429,0,4,37,0.834285714285714,1
1.23857142857143,0.834285714285714,4.76451314001525,2669.154977,793100,2,4,2,2,3,-3.51,-28.1225714285714,-0.0353508875045119,-19.9184285714286,287.714285714286,7.91428571428571,85.8457142857143,0,4,38,0.648571428571429,1
1.08571428571429,0.648571428571429,4.76451314001525,2669.154977,793100,2,4,2,2,3,-2.87728571428571,-27.2448571428571,-0.00318057149527995,-18.7142857142857,285.7,4.92285714285714,79.9842857142857,0,4,39,0.744285714285714,1
0.834285714285714,0.744285714285714,4.76451314001525,2669.154977,793100,2,4,2,2,3,-2.16314285714286,-28.5101428571429,0.117681548638322,-18.0001428571429,165.757142857143,2.47714285714286,86.7985714285714,0,4,40,0.932857142857143,1
0.648571428571429,0.932857142857143,4.76451314001525,2669.154977,793100,2,4,2,2,3,0.122428571428571,-28.3674285714286,-0.0215936734076152,-16.592,56.8952380952381,1.1852380952381,86.2574603174603,0,4,41,0.921428571428571,1
0.744285714285714,0.921428571428571,4.76451314001525,2669.154977,793100,2,4,2,2,3,-2.245,-29.3675714285714,0.023390200458973,-18.1227142857143,102.185714285714,1.17,88.4957142857143,0,4,42,0.908571428571429,1
0.932857142857143,0.908571428571429,4.76451314001525,2669.154977,793100,2,4,2,2,2.71428571428571,-2.95914285714286,-28.4081428571429,0.0708475123547316,-16.6124285714286,72.1285714285714,4.31285714285714,91.0171428571429,0,4,43,1.01428571428571,1
1.52857142857143,0.924285714285714,4.01295282845893,2276.853836,315100,1,1,1,3,1,3.97971428571429,-11.3262857142857,-0.0173395781167436,-16.9998571428571,655.785714285714,17.3714285714286,62.6071428571429,0,5,20,1.07142857142857,0
0.955714285714286,1.07142857142857,4.01295282845893,2276.853836,315100,1,1,1,3,1,1.87742857142857,-14.2652857142857,-0.0436874808935173,-20.8365714285714,423.714285714286,15.8785714285714,70.9642857142857,0,5,21,1,0
0.924285714285714,1,4.01295282845893,2276.853836,315100,1,1,1,3,1,-0.265285714285714,-14.898,0.000886606190945827,-24.1838571428571,503.785714285714,19.0571428571429,66.9571428571429,0,5,22,1.14571428571429,0
1.07142857142857,1.14571428571429,4.01295282845893,2276.853836,315100,1,1,1,3,1,-1.10185714285714,-15.5508571428571,-0.0241160611108171,-29.0001428571429,564.357142857143,22.0071428571429,63.2357142857143,0,5,23,1.04571428571429,0
